                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11214,                 0.2704,                0.02124,                      0,              0.0022762,                0.68286,               0.028261,              0.0093949,             0.00068571,                0.20571,                0.07876,              0.0082215,               0.064617,               0.050587,               0.011457,                      0,               0.070043,              0.0033286,              0.0033286
                      1,               0.067888,               0.029394,               0.020115,                      0,                0.61374,                0.40071,                0.45927,                0.22892,                0.55601,                0.54286,                0.62071,                 0.3502,               0.032982,              0.0062536,              0.0096412,                      0,               0.039983,              0.0066019,              0.0066019
                      2,               0.047321,               0.016193,               0.014582,                      0,                0.67758,                0.64214,                0.70871,                0.46925,                0.91798,                0.59143,                0.73074,                0.43068,               0.021951,              0.0087015,              0.0076691,                      0,              0.0098629,              0.0098153,              0.0098153
                      3,               0.038417,               0.013976,               0.010899,                      0,                0.74424,                0.60901,                 0.7836,                0.50257,                0.85282,                0.59187,                0.79468,                0.60566,               0.018921,              0.0054924,              0.0054197,                      0,                0.00973,                0.00973,                0.00973
                      4,               0.032328,               0.012501,              0.0090018,                      0,                 0.7225,                0.79597,                0.83541,                0.54727,                0.73576,                0.99244,                0.88988,                0.62852,               0.016285,              0.0056427,               0.004932,                      0,                0.00973,                0.00973,                0.00973
                      5,                 0.0278,               0.011406,              0.0077174,                      0,               0.026726,                0.17929,               0.011781,              0.0034809,             0.00098631,               0.065714,             0.00052559,             5.3638e-05,                0.05978,                 0.1356,               0.015203,                      0,                0.00964,                0.00964,                0.00964
                      6,               0.025383,               0.011163,              0.0071902,                      0,               0.065738,                0.39786,               0.043095,               0.013319,               0.016966,               0.098571,              0.0093221,              0.0027252,               0.046628,               0.057419,               0.015706,                      0,                0.00955,                0.00955,                0.00955
                      7,               0.023317,               0.010378,              0.0066503,                      0,                0.40175,                0.69071,                0.57701,                0.38945,                0.99785,                0.33098,                0.47716,                 0.2382,               0.023502,               0.027905,               0.006556,                      0,                0.00946,                0.00946,                0.00946
                      8,               0.021414,               0.010258,              0.0064314,                      0,                0.84052,                0.89217,                0.95586,                0.70215,                0.84474,                0.89714,                0.95823,                0.71036,               0.012895,              0.0052143,              0.0040576,                      0,                0.00937,                0.00937,                0.00937
                      9,                 0.0202,               0.010014,              0.0061858,                      0,                0.83139,                0.78143,                0.89309,                0.67441,                0.90235,                0.76643,                0.91457,                0.63966,               0.012264,              0.0058003,               0.004277,                      0,                0.00928,                0.00928,                0.00928
